employee_id,employee_name,site,role,skills,monday,tuesday,wednesday,thursday,friday,saturday,sunday
E001,Lena Marsh,Alpha,cleaning,mopping;waste,available,available,available,available,available,unavailable,unavailable
E002,James Obi,Alpha,cleaning,waste;windows,available,available,unavailable,available,available,available,unavailable
E003,Priya Nair,Alpha,cleaning,windows;sanitation,unavailable,available,available,available,unavailable,available,available
E004,Carlos Vega,Alpha,cleaning,sanitation;mopping,available,unavailable,available,unavailable,available,available,partial
E005,Nina Holst,Alpha,security,patrol;cctv,available,available,available,available,available,unavailable,unavailable
E006,Tom Reyes,Alpha,security,cctv;access-control,partial,available,available,available,partial,available,unavailable
E007,Asha Pinto,Alpha,security,access-control;incident,available,unavailable,available,available,available,available,partial
E008,Kwame Asante,Beta,cleaning,sanitation;mopping,available,available,available,unavailable,available,unavailable,available
E009,Sara Lindqvist,Beta,cleaning,mopping;waste,available,available,partial,available,available,available,unavailable
E010,Olga Petrov,Beta,cleaning,waste;windows,unavailable,available,available,available,unavailable,available,available
E011,Finn Daly,Beta,cleaning,windows;sanitation,available,partial,available,available,available,unavailable,available
E012,Mia Jonsen,Beta,security,incident;patrol,available,available,available,available,unavailable,available,partial
E013,Daniel Cho,Beta,security,patrol;cctv,available,available,unavailable,partial,available,available,available
E014,Ravi Sharma,Beta,security,cctv;access-control,partial,available,available,available,available,unavailable,available
E015,Ingrid Bauer,Beta,maintenance,plumbing;general,available,available,available,available,available,partial,unavailable
E016,Leo Santos,Beta,maintenance,general;hvac,available,unavailable,available,available,available,available,partial
E017,Yuki Tanaka,Gamma,cleaning,mopping;waste,available,available,available,unavailable,available,available,partial
E018,Amy Okafor,Gamma,cleaning,waste;windows,available,available,partial,available,available,unavailable,available
E019,Hassan Ali,Gamma,cleaning,windows;sanitation,unavailable,available,available,available,available,available,partial
E020,Tara Flynn,Gamma,cleaning,sanitation;mopping,available,partial,available,available,unavailable,available,available
E021,Marcus Webb,Gamma,security,patrol;cctv,available,available,available,available,available,partial,unavailable
E022,Cleo Adeyemi,Gamma,security,cctv;access-control,available,unavailable,available,available,available,available,partial
E023,Samir Haddad,Gamma,security,access-control;incident,partial,available,available,partial,available,available,unavailable
E024,Jana Novak,Gamma,maintenance,general;hvac,available,available,available,available,partial,available,available
E025,Pete Larsson,Gamma,maintenance,hvac;electrical,available,available,unavailable,available,available,partial,available
E026,Vera Morozova,Alpha,maintenance,electrical;plumbing,available,available,available,unavailable,available,available,partial
E027,Bolu Adekunle,Alpha,maintenance,plumbing;general,partial,available,available,available,available,unavailable,available
E028,Chidi Nweke,Beta,cleaning,sanitation;mopping,available,available,available,available,unavailable,partial,available
E029,Fatima Zahra,Gamma,cleaning,mopping;waste,available,available,available,available,available,partial,unavailable
E030,Sven Eriksson,Alpha,security,cctv;access-control,available,partial,available,available,available,unavailable,available
E031,Layla Hasan,Beta,maintenance,plumbing;general,available,available,partial,available,available,available,unavailable
E032,Ivan Kozlov,Gamma,security,incident;patrol,available,available,available,unavailable,partial,available,available
E033,Nkechi Osei,Alpha,cleaning,mopping;waste,available,available,unavailable,available,available,partial,available
E034,Dario Ricci,Beta,security,cctv;access-control,available,partial,available,available,available,available,unavailable
E035,Amara Diallo,Gamma,maintenance,plumbing;general,available,available,available,partial,available,available,unavailable
E036,Sun Li,Alpha,maintenance,general;hvac,partial,available,available,available,available,unavailable,available
E037,Bjorn Strand,Beta,cleaning,mopping;waste,available,available,available,partial,unavailable,available,available
E038,Ruth Kamau,Gamma,cleaning,waste;windows,available,available,available,available,available,unavailable,partial
E039,Omar Farouq,Alpha,security,access-control;incident,available,available,partial,available,available,available,unavailable
E040,Ines Carvalho,Beta,maintenance,general;hvac,available,unavailable,available,available,partial,available,available
